category	Delta (AY.9)	#0073B2
category	Delta (AY.90)	#006DB2
category	Delta (AY.92)	#0067B2
category	Delta (AY.93)	#005FB2
category	Delta (AY.98)	#0059B2
category	Delta (AY.98.1)	#0054B2
category	Delta (AY.99.2)	#004EB2
category	Delta (B.1.617.2)	#0049B2
category	Epsilon (B.1.427/B.1.429)	#0040B2
category	Eta (B.1.525)	#003BB2
category	Gamma (P.1)	#0035B2
category	Gamma (P.1.1)	#002DB2
category	Iota (B.1.526)	#0027B2
category	Kappa (B.1.617.1)	#0021B2
category	Lambda (C.37)	#001CB2
category	Mu (B.1.621)	#0016B2
category	Mu (B.1.621.1)	#0011B2
category	Omicron (BA.1)	#000BB2
category	Omicron (BA.1.1)	#0005B2
category	Omicron (BA.2)	#0000B2
category	Other variants	#808080

